Taxonomic_name,Taxon,M,Body_length_mm,a,b,Genus,Family,Order,Max_body_size_abbrev,Body_shape_abbrev,Armor_abbrev,Resp_abbrev,Feed_prim_abbrev,Habit_prim_abbrev,Rheophily_abbrev,Drift_abbrev,Female_disp_abbrev,AdultFlyingStrength_abbrev,MaxCrawlRate_abbrev,SwimmingAbility_abbrev,Exit_temporarily_abbrev,AbilityToSurviveDesiccation_abbrev,Voltinism_abbrev,Dev_speed_abbrev,Adult_lifespan_abbrev,Thermal_pref
Skwala,Skwala,67.53532213,19.5,0.0196,2.742,Skwala,Perlodidae,Plecoptera,large,streamlined,poor,tegument,PR,CN,eros,rare,low,weak,low,weak,absent,absent,univoltine,slow,short,CCE
Soyedina,Soyedina,0.789662984,6,0.0056,2.762,Soyedina,Nemouridae,Plecoptera,small,not_streamlined,none,tegument,SH,SP,depo_eros,rare,low,weak,very_low,weak,absent,present,univoltine,fast,very_short,CCE
Stegopterna,Stegopterna,2.733149393,11,0.002,3.011,Stegopterna,Simuliidae,Diptera,small,not_streamlined,none,tegument,CF,CN,eros,common,low,strong,low,none,absent,absent,bi_multivoltine,fast,very_short,CCE
Stictotarsus,Stictotarsus,1.577240309,4.725,0.014975,2.999,Stictotarsus,Dytiscidae,Coleoptera,,,,,,,,,,,,,,,,,,
Stilobezzia,Stilobezzia,0.162619632,5.425,0.0025,2.469,Stilobezzia,Ceratopogonidae,Diptera,small,not_streamlined,poor,tegument,MPR,BU,depo_eros,rare,low,weak,very_low,none,absent,absent,univoltine,fast,very_short,NP
Suwallia,Suwallia,2.473558448,8.857,0.0065,2.724,Suwallia,Chloroperlidae,Plecoptera,medium,not_streamlined,none,tegument,PR,CN,depo_eros,common,low,weak,low,weak,absent,absent,univoltine,slow,short,CCE
Sweltsa,Sweltsa,7.797269444,13.5,0.0065,2.724,Sweltsa,Chloroperlidae,Plecoptera,medium,not_streamlined,none,tegument,PR,CN,depo_eros,common,low,weak,low,weak,absent,absent,semivoltine,slow,short,CCE
Tabanus,Tabanus,6.281787423,16,0.0054,2.546,Tabanus,Tabanidae,Diptera,,,,,,,,,,,,,,,,,,
Tipula,Tipula,10.16875835,21,0.0029,2.681,Tipula,Tipulidae,Diptera,medium,not_streamlined,none,gills,SH,BU,depo_eros,rare,low,weak,low,none,absent,present,univoltine,slow,short,NP
Turbellaria,Turbellaria,0.030679362,2.168,0.0056,2.198,Turbellaria,Turbellaria,Turbellaria,small,streamlined,none,pores,PR,BU,depo_eros,rare,low,none,very_low,weak,absent,absent,bi_multivoltine,slow,very_short,NP
Wiedeman,Wiedemannia,0.325065883,5,0.0054,2.546,Wiedemannia,Empididae,Diptera,medium,not_streamlined,none,tegument,PR,CN,depo_eros,rare,low,weak,low,none,present,absent,univoltine,slow,very_short,NP
Wormaldia,Yoraperla,7.017858546,10.7,0.0141,2.62,Yoraperla,Peltoperlidae,Plecoptera,medium,streamlined,good,gills,SH,CN,eros,common,low,weak,low,weak,absent,absent,univoltine,fast,very_short,NP
Yoraperla,Yphria,2.51842527,8.9,0.0054,2.811,Yphria,Phryganeidae,Trichoptera,small,not_streamlined,poor,gills,PR,BU,eros,rare,low,weak,low,none,absent,absent,univoltine,slow,long,CCE
Zapada,Zapada,0.789662984,6,0.0056,2.762,Zapada,Nemouridae,Plecoptera,small,not_streamlined,none,gills,SH,SP,depo_eros,common,low,weak,very_low,weak,absent,absent,semivoltine,fast,very_short,CCE
